name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales
NPPL: Championship Paintball 2009,PS2,2008,Shooter,Activision Value,130000,100000,0,30000
Bolt,X360,2008,Adventure,Disney Interactive Studios,180000,50000,0,20000
DemiKids: Dark Version,GBA,2002,Role-Playing,Atlus,20000,10000,0,0
The Penguins of Madagascar,DS,2010,Action,THQ,130000,120000,0,20000
Phantasy Star Ø,DS,2008,Role-Playing,Sega,160000,0,200000,10000
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,Strategy,Konami Digital Entertainment,50000,40000,0,10000
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,260000,140000,10000,40000
Deer Drive: Legends,3DS,2012,Action,Maximum Family Games,30000,0,0,0
Dai Senryaku VII: Modern Military Tactics,XB,2003,Strategy,Kool Kizz,30000,10000,0,0
Samurai Shodown III,NG,1995,Fighting,SNK,0,0,80000,0
World Championship Poker 2: Featuring Howard Lederer,XB,2005,Misc,Crave Entertainment,70000,20000,0,0
MX vs. ATV Untamed,PS3,2007,Racing,THQ,350000,60000,0,50000
Need for Speed Underground 2,GBA,2004,Racing,Electronic Arts,310000,120000,0,10000
Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004,Misc,,180000,70000,0,0
Bio FREAKS,PS,1998,Action,GT Interactive,70000,50000,0,10000
Story of Seasons,3DS,2014,Simulation,Nintendo,0,130000,260000,10000
Need for Speed: ProStreet,PC,2007,Racing,Electronic Arts,0,40000,0,10000
World Stadium 3,PS,1999,Sports,Namco Bandai Games,0,0,310000,20000
Primal Rage,PS,1994,Fighting,Time Warner Interactive,60000,40000,0,10000
Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,430000,50000,0,140000
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PC,2009,Shooter,Activision,20000,0,0,0
Cool Boarders,PS,1996,Sports,Sony Computer Entertainment,100000,70000,240000,30000
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,2006,Misc,Daito,0,0,30000,0
Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,190000,50000,0,10000
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,470000,530000,30000,220000
SSX On Tour,GC,2005,Sports,Electronic Arts,130000,30000,0,0
NHL FaceOff 2001,PS,2000,Sports,Sony Computer Entertainment,130000,90000,0,20000
Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,140000,110000,0,40000
Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive,180000,10000,100000,20000
Summon Night 4,PS2,2006,Role-Playing,Banpresto,0,0,180000,0
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,Misc,D3Publisher,10000,0,0,0
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,Atlus,70000,50000,0,20000
Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,250000,90000,0,10000
Watch Dogs,XOne,2014,Action,Ubisoft,900000,530000,0,130000
The BIGS,X360,2007,Sports,Take-Two Interactive,180000,80000,0,0
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,40000,0
Jurassic: The Hunted,PS3,2009,Shooter,Activision,170000,0,0,20000
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,Misc,Benesse,0,0,10000,0
Lumines ll,PSP,2006,Puzzle,Disney Interactive Studios,120000,120000,0,70000
MAPLUS: Portable Navi 3,PSP,2009,Misc,Edia,0,0,20000,0
Sega Soccer Slam,PS2,2002,Sports,Sega,60000,50000,0,20000
Madden NFL 07,PS3,2006,Sports,Electronic Arts,470000,0,10000,40000
Just Dance 2014,X360,2013,Misc,Ubisoft,720000,190000,0,70000
Pizza Delivery Boy,Wii,2010,Simulation,Majesco Entertainment,60000,0,0,0
ParaParaParadise,PS2,2001,Misc,Konami Digital Entertainment,0,0,30000,0
Rygar: The Legendary Adventure,PS2,2002,Action,Wanadoo,200000,150000,60000,50000
Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,2009,Simulation,Konami Digital Entertainment,0,0,100000,0
Double Dragon Advance,GBA,2003,Action,Atlus,30000,10000,0,0
Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,110000,0,0,10000
SafeCracker: The Ultimate Puzzle Adventure,Wii,2008,Puzzle,The Adventure Company,70000,10000,0,10000
Harry Potter and the Order of the Phoenix,PC,2007,Action,Electronic Arts,0,30000,0,10000
Sega Rally Revo,PSP,2007,Racing,Sega,30000,150000,0,80000
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0,0,630000,0
Speed,Wii,2010,Racing,Unknown,40000,20000,0,10000
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,230000,30000,1490000,30000
BlazBlue: Chrono Phantasma Extend,PS3,2015,Action,PQube,0,0,40000,0
Asphalt: Urban GT 2,DS,2006,Racing,Ubisoft,90000,40000,0,10000
Quake,N64,1998,Shooter,GT Interactive,150000,40000,0,0
Rugby 15,X360,2015,Sports,Bigben Interactive,0,50000,0,0
NBA 2K9,PS3,2008,Sports,Take-Two Interactive,560000,0,0,50000
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,860000,460000,0,130000
Shaun White Snowboarding: World Stage,Wii,2009,Sports,Ubisoft,250000,40000,0,20000
Rocksmith,PS3,2011,Misc,Ubisoft,520000,380000,90000,170000
Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,430000,110000,0,20000
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1730000,2190000,0,790000
Kaite Shabette Hajimeyou! Monster Farm DS,DS,2007,Role-Playing,Tecmo Koei,0,0,60000,0
International Track & Field,PS,1996,Sports,Konami Digital Entertainment,80000,50000,350000,30000
Ridge Racer Unbounded,X360,2012,Racing,Namco Bandai Games,50000,50000,0,10000
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,450000,0,20000
The Sims 2: Bon Voyage,PC,2007,Simulation,Electronic Arts,10000,10000,0,0
Super Robot Taisen 64,N64,1999,Strategy,Banpresto,0,0,200000,0
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Sports,Konami Digital Entertainment,0,0,350000,0
Nickelodeon Party Blast,GC,2002,Misc,Atari,190000,50000,0,10000
Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,Broccoli,0,0,30000,0
Just Cause,PC,2006,Action,Eidos Interactive,0,10000,0,0
International Cricket 2010,X360,2010,Sports,Codemasters,0,120000,0,20000
Millipede / Super Breakout / Lunar Lander,GBA,2005,Misc,Zoo Digital Publishing,30000,10000,0,0
Sonic Heroes,XB,2003,Platform,Sega,410000,430000,10000,50000
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,100000,30000,120000,40000
Sphinx and the Cursed Mummy,PS2,2003,Action,THQ,220000,170000,0,60000
Rocksmith 2014,PS3,2013,Misc,Ubisoft,510000,270000,50000,150000
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,150000,0,0,10000
NFL Quarterback Club 97,PS,1996,Sports,Acclaim Entertainment,120000,80000,0,10000
Thrillville: Off the Rails,PSP,2007,Strategy,LucasArts,90000,0,0,10000
Amazing Island,GC,2004,Strategy,Sega,40000,10000,0,0
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",PS2,2008,Adventure,ASCII Media Works,0,0,20000,0
SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,2013,Shooter,Activision,0,40000,0,0
MotorHead,PS,1998,Racing,Gremlin Interactive Ltd,20000,10000,0,0
Damnation,PS3,2009,Shooter,Codemasters,70000,10000,0,10000
San-X Character Channel: All-Star Daishuugou!,DS,2008,Action,MTO,0,0,10000,0
NBA Ballers: Chosen One,X360,2008,Sports,Midway Games,170000,0,0,10000
Tak: The Great Juju Challenge,GBA,2005,Platform,THQ,120000,50000,0,0
Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,70000,0,60000,10000
Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games,180000,40000,150000,20000
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,130000,150000,0,50000
UK Truck Simulator,PC,2010,Simulation,,0,30000,0,0
Star Trek: Legacy,PC,2006,Simulation,Ubisoft,0,10000,0,0
Dungeons & Dragons: Shadow over Mystara,PS3,2013,Role-Playing,Capcom,0,0,20000,0
NatGeo Challenge! Wild Life,PS3,2010,Misc,Black Bean Games,50000,30000,0,10000
Maximum Chase,XB,2002,Racing,Microsoft Game Studios,50000,20000,0,0
Corvette,XB,2003,Racing,TDK Mediactive,180000,50000,0,10000
Gex 3: Deep Cover Gecko,PS,1999,Platform,Eidos Interactive,300000,200000,0,30000
NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,1690000,200000,0,60000
Pet Zombies,3DS,,Simulation,Majesco Entertainment,180000,0,0,10000
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,350000,270000,0,90000
Homefront,PS3,2011,Shooter,THQ,320000,400000,40000,150000
The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,190000,390000,0,220000
George of the Jungle and the Search for the Secret,DS,2008,Platform,Ignition Entertainment,50000,0,0,0
Happy Feet,DS,2006,Action,Midway Games,270000,10000,0,20000
Rugby 08,PS2,2007,Sports,Electronic Arts,20000,10000,0,0
Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft,240000,110000,0,40000
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,700000,110000,0,60000
Quantum Redshift,XB,2002,Racing,Microsoft Game Studios,90000,30000,0,0
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Misc,Konami Digital Entertainment,0,0,400000,10000
Game no Kanzume Vol 1,SCD,1994,Misc,Sega,0,0,40000,0
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,260000,0,310000,20000
UFC Undisputed 3,PS3,2012,Action,THQ,550000,340000,30000,130000
ArmA III,PC,2013,Shooter,Bohemia Interactive,0,100000,0,20000
Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,340000,200000,0,60000
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0,0,70000,0
Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,0,60000,0,10000
Rayman Raving Rabbids,PC,2006,Misc,Ubisoft,0,10000,0,0
Trick x Logic: Season 2,PSP,2010,Adventure,Sony Computer Entertainment,0,0,40000,0
Castlevania: Lords of Shadow - Reverie,PS3,2011,Action,Konami Digital Entertainment,20000,10000,0,10000
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,FuRyu,0,0,40000,0
NCAA College Basketball 2K3,PS2,2002,Sports,Sega,120000,90000,0,30000
Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,Namco Bandai Games,60000,0,140000,10000
Just Cause 2,X360,2010,Action,Square Enix,590000,850000,20000,170000
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,40000,130000,0,30000
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,150000,100000,0,20000
Call of Duty: World at War,PS3,2008,Shooter,Activision,2720000,1870000,0,840000
FIFA 16,PC,2015,Sports,Electronic Arts,40000,130000,0,10000
Animal Crossing,GC,2001,Simulation,Nintendo,1920000,160000,990000,90000
Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,380000,260000,0,40000
Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,250000,10000,0,20000
Frogger: Helmet Chaos,DS,2005,Platform,Konami Digital Entertainment,60000,0,0,0
Angry Birds Star Wars,XOne,2013,Strategy,Activision,110000,40000,0,10000
Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,110000,90000,0,30000
Resident Evil: Revelations,WiiU,2013,Action,Capcom,70000,80000,30000,10000
Fist of the North Star: Ken's Rage 2,WiiU,2013,Fighting,Tecmo Koei,0,0,20000,0
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,620000,40000,0,20000
Darkstone,PS,2001,Role-Playing,Electronic Arts,370000,250000,0,40000
Time Crisis,PS,1997,Shooter,Namco Bandai Games,380000,870000,330000,100000
SNK Arcade Classics Vol. 1,Wii,2008,Misc,Ignition Entertainment,60000,0,0,10000
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,960000,2000000,210000,560000
Cubix Robots for Everyone: Clash 'n' Bash,GBA,,Action,Unknown,260000,100000,0,10000
Child of Eden,PS3,2011,Shooter,Ubisoft,90000,100000,0,40000
Polar Bowler,DS,2008,Sports,Mumbo Jumbo,20000,0,0,0
Mini Desktop Racing,Wii,2007,Racing,Popcorn Arcade,10000,0,0,0
Monster Mayhem: Build and Battle,DS,2009,Simulation,Zushi Games,20000,0,0,0
Max Payne,PS2,2001,Shooter,Take-Two Interactive,1990000,1050000,50000,220000
"Sharin no Kuni, Himawari no Shoujo",X360,2010,Adventure,5pb,0,0,20000,0
Championship Manager 2010,PC,2009,Sports,Eidos Interactive,0,10000,0,0
Vitamin X Evolution Plus,PSP,2010,Adventure,D3Publisher,0,0,20000,0
Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision,40000,10000,0,0
Gray Matter,X360,2011,Adventure,DTP Entertainment,0,40000,0,10000
Maximum Racing: Drag & Stock Racer,Wii,2010,Racing,Nordic Games,30000,0,0,0
Army of Two,X360,2008,Shooter,Electronic Arts,1090000,380000,20000,160000
Amagami,PSV,2014,Adventure,Kadokawa Games,0,0,40000,0
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0,0,180000,0
Hyakka Yakou,PSV,2015,Action,Unknown,0,0,10000,0
Disney's Aladdin,GBA,2003,Platform,Capcom,20000,10000,0,0
Combat Mission: Shock Force,PC,2007,Strategy,Paradox Interactive,0,30000,0,10000
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014,Action,Namco Bandai Games,0,0,10000,0
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8410000,5490000,470000,1780000
BlazBlue: Calamity Trigger,PC,2010,Fighting,PQube,0,10000,0,0
Juiced 2: Hot Import Nights,PC,2007,Racing,THQ,0,10000,0,0
Hakuouki: Zuisouroku DS,DS,2011,Adventure,Idea Factory,0,0,40000,0
I-Ninja,XB,2003,Platform,Namco Bandai Games,50000,20000,0,0
Tenchu: Fatal Shadows,PS2,2004,Action,Sega,90000,70000,0,20000
Blood Drive,PS3,2010,Racing,Activision,70000,0,0,0
Mega Minis Volume 3,PSP,2011,Misc,Sony Computer Entertainment,0,50000,0,20000
San Francisco Rush: Extreme Racing,PS,1997,Racing,GT Interactive,210000,150000,0,30000
FIFA 06 Soccer,GC,2005,Sports,Electronic Arts,110000,30000,0,0
World Championship Athletics,Wii,2009,Sports,DTP Entertainment,40000,10000,0,0
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,860000,270000,20000,220000
Detective Conan: Prelude from the Past,DS,2012,Action,Namco Bandai Games,0,0,50000,0
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,220000,10000,0,20000
Championship Bass,PS,1999,Sports,Electronic Arts,180000,120000,0,20000
MotoGP 15,X360,2015,Racing,Milestone S.r.l.,0,10000,0,0
The King of Fighters Kyo,PS,1998,Fighting,SNK Playmore,0,0,40000,0
Winter Stars,X360,2011,Sports,Deep Silver,50000,40000,0,10000
Dead Rising 2: Off the Record,X360,2011,Action,Capcom,170000,90000,0,20000
Sengoku Hime: Senran ni Mau Otometachi,PS2,2009,Adventure,Yeti,0,0,20000,0
Barnyard,GBA,2006,Action,THQ,30000,10000,0,0
Need for Speed: Shift,PC,2009,Racing,Electronic Arts,0,50000,0,10000
Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,PSV,2015,Adventure,dramatic create,0,0,20000,0
Fortune Street,Wii,2011,Misc,Nintendo,270000,40000,170000,20000
Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,110000,80000,350000,40000
Worms: WMD,PS4,2016,Action,Sold Out,10000,10000,0,0
The Smurfs 2,PS3,2013,Platform,Ubisoft,20000,70000,0,20000
Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,20000,60000,0,10000
The Smurfs,DS,2011,Action,Ubisoft,240000,140000,0,40000
Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios,30000,20000,0,10000
Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,470000,180000,0,120000
Yoshi's Cookie,NES,1992,Puzzle,Nintendo,410000,60000,630000,20000
Vitamin Z,PS2,2009,Adventure,D3Publisher,0,0,30000,0
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,80000,70000,0,20000
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,460000,170000,240000,20000
Madden NFL 2005,GC,2004,Sports,Electronic Arts,540000,140000,0,20000
TransFormers Animated: The Game,DS,2008,Action,Activision,150000,10000,0,10000
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,320000,260000,120000,170000
Battalion Wars 2,Wii,2007,Strategy,Nintendo,220000,30000,80000,20000
PopStar Guitar,Wii,2008,Misc,Midway Games,30000,30000,0,10000
Blood Bowl,PC,2009,Sports,Focus Home Interactive,10000,20000,0,10000
Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002,Sports,Namco Bandai Games,0,0,20000,0
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,240000,170000,0,50000
Championship Manager 3,PC,2003,Sports,Eidos Interactive,0,930000,0,80000
Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,Namco Bandai Games,0,0,120000,0
GRID Autosport,PC,2014,Racing,Codemasters,0,20000,0,0
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,790000,180000,30000,70000
F1 2011,PS3,2011,Racing,Codemasters,120000,750000,110000,250000
Boogie,DS,2007,Misc,Electronic Arts,250000,0,0,20000
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,50000,0,10000
Tank Beat,DS,2006,Strategy,Midas Interactive Entertainment,10000,10000,0,0
Chaos Legion,PS2,2003,Action,Capcom,150000,120000,0,40000
Star Wars: Empire at War,PC,2006,Strategy,LucasArts,10000,60000,0,20000
Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,160000,130000,60000,40000
Sleeping Dogs,PC,2012,Action,Square Enix,60000,50000,0,20000
Winning Post World,PS3,2009,Sports,Tecmo Koei,0,0,50000,0
SingStar Take That,PS3,2009,Misc,Sony Computer Entertainment,0,300000,0,30000
7 Wonders II,DS,2009,Puzzle,Rondomedia,140000,150000,0,30000
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0,0,360000,0
MDK2 Armageddon,PS2,2001,Shooter,Virgin Interactive,80000,70000,0,20000
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010,Action,Takara Tomy,0,0,60000,0
Arcade Party Pak,PS,1999,Misc,Midway Games,60000,40000,0,10000
Red Orchestra 2: Heroes of Stalingrad,PC,2011,Shooter,Tripwire Interactive,40000,70000,0,20000
Fate/Extra CCC,PSP,2013,Action,Marvelous Entertainment,0,0,120000,0
Guitar Hero 5,X360,2009,Misc,Activision,650000,370000,0,110000
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,930000,1940000,310000,700000
Disney Planes Fire & Rescue,WiiU,2014,Action,Disney Interactive Studios,10000,10000,0,0
Bomberman Land Touch!,DS,2006,Puzzle,Rising Star Games,40000,0,40000,0
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,270000,80000,0,10000
Picture Perfect Hair Salon,DS,2009,Simulation,505 Games,70000,0,0,10000
Star Wars Episode I: Battle for Naboo,N64,2000,Simulation,LucasArts,210000,50000,0,0
Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,LucasArts,440000,40000,0,40000
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1030000,0,10000,80000
RollerCoaster Tycoon,PC,,Strategy,Microprose,20000,20000,0,10000
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,420000,30000,300000,40000
The Legend of Heroes III: Song of the Ocean,PSP,2006,Role-Playing,Namco Bandai Games,30000,0,0,0
Outdoors Unleashed: Alaska 3D,3DS,2011,Sports,Mastiff,10000,0,0,0
The Naked Brothers Band: The Video Game,PS2,2008,Misc,THQ,80000,60000,0,20000
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,1160000,910000,0,300000
Rayman Legends,PS4,2014,Platform,Ubisoft,210000,610000,0,180000
Battle Engine Aquila,PS2,2003,Shooter,Atari,20000,10000,0,0
FIFA Soccer 07,XB,2006,Sports,Electronic Arts,160000,350000,0,40000
NBA Live 99,PS,1997,Sports,Electronic Arts,1130000,50000,0,30000
Element Hunter,DS,2009,Role-Playing,Namco Bandai Games,0,0,10000,0
Winx Club: Rockstars,DS,2010,Adventure,Namco Bandai Games,0,30000,0,0
Enchanted Arms,X360,2006,Role-Playing,Ubisoft,160000,20000,0,20000
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,2010,Action,Hudson Soft,0,0,20000,0
X-Men Legends,GC,2004,Role-Playing,Activision,410000,110000,0,10000
March of the Penguins,DS,2006,Adventure,Zoo Digital Publishing,40000,0,0,0
UFC: Sudden Impact,PS2,2004,Fighting,Global Star,90000,70000,0,20000
F.E.A.R. Files,X360,2007,Shooter,Vivendi Games,70000,10000,0,10000
Silverlicious,DS,2012,Action,,30000,0,0,0
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,70000,50000,0,20000
RPG Maker 3,PS2,2004,Role-Playing,Enterbrain,30000,20000,0,10000
Wand of Fortune Portable,PSP,2010,Adventure,Idea Factory,0,0,10000,0
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,300000,80000,70000,10000
Dream C Club: GoGo,PS3,2014,Adventure,D3Publisher,0,0,20000,0
Kurikin: Nano Island Story,DS,2007,Role-Playing,Nintendo,0,0,90000,0
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2560000,1680000,0,590000
Ephemeral Fantasia,PS2,2000,Role-Playing,Konami Digital Entertainment,40000,30000,0,10000
FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,200000,10000,0,20000
Metal Slug 4 & 5,XB,2005,Shooter,SNK Playmore,30000,10000,0,0
Dreamer Series: Zoo Keeper,DS,2010,Simulation,DreamCatcher Interactive,60000,0,0,0
Turbo: Super Stunt Squad,3DS,2013,Sports,D3Publisher,0,10000,0,0
The Berenstain Bears and the Spooky Old Tree,GBA,2005,Platform,Namco Bandai Games,30000,10000,0,0
Timmy Time,DS,2011,Action,Avanquest,0,30000,0,0
Iron Soldier 3,PS,1999,Simulation,Telegames,10000,10000,0,0
Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision,160000,120000,0,40000
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,30000,0,110000,0
From TV Animation One Piece: Grand Battle! 3,GC,2003,Fighting,Namco Bandai Games,0,0,200000,10000
Myst,PC,1994,Adventure,Red Orb,20000,2790000,0,0
The Urbz: Sims in the City (all regions sales),DS,2004,Simulation,Electronic Arts,400000,10000,20000,0
Kidou Senshi Gundam Seed Battle Destiny,PSV,2012,Action,Namco Bandai Games,0,0,120000,0
Bullet Girls 2,PSV,2016,Action,D3Publisher,0,0,40000,0
Prinny: Can I Really Be the Hero?,PSP,2008,Platform,Tecmo Koei,20000,10000,50000,10000
Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Simulation,Konami Digital Entertainment,0,0,20000,0
Kekkaishi: Kokubourou Shuurai,DS,2008,Action,Namco Bandai Games,0,0,30000,0
Pikmin,GC,2001,Strategy,Nintendo,780000,250000,560000,40000
Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,260000,0,30000,30000
Alpha Protocol,PS3,2010,Role-Playing,Sega,190000,180000,0,70000
Norse by Norsewest: The Return of the Lost Vikings,PS,1997,Action,Interplay,40000,30000,0,0
Martian Panic,Wii,2010,Adventure,Unknown,80000,0,0,0
Tennis Masters Series 2003,XB,2002,Sports,Microids,30000,10000,0,0
Warriors Orochi 2,X360,2008,Action,Tecmo Koei,40000,0,10000,0
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3800000,5810000,360000,2020000
Turbo Turtle Adventure,GBA,2002,Puzzle,Majesco Entertainment,40000,10000,0,0
Deadpool,X360,2013,Action,Activision,260000,160000,0,40000
Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,130000,180000,0,40000
Star Wars: Clone Wars,XB,2003,Shooter,LucasArts,100000,30000,0,0
K-ON! Houkago Live!!,PSP,2010,Misc,Sega,0,0,250000,0
Dragon Age II,X360,2011,Action,Electronic Arts,720000,300000,10000,90000
Unreal II: The Awakening,XB,2004,Shooter,Atari,170000,40000,0,10000
NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,930000,0,0,70000
MLB SlugFest 20-03,PS2,,Sports,Unknown,410000,320000,0,110000
Midway Arcade Treasures,PS2,2003,Misc,Midway Games,720000,560000,0,190000
One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,60000,40000,40000,30000
Pilotwings 64,N64,1996,Simulation,Nintendo,560000,240000,300000,20000
Shin Hayarigami,PS3,2014,Adventure,Nippon Ichi Software,0,0,40000,0
Back to the Future: The Game,X360,2015,Adventure,Telltale Games,20000,10000,0,0
Shadows of the Damned,PS3,2011,Action,Electronic Arts,110000,90000,40000,40000
The Idolmaster: Gravure For You! Vol.8,PS3,2012,Action,Namco Bandai Games,0,0,20000,0
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,20000,50000,0,10000
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1770000,320000,0,0
Princess Frontier Portable,PSP,2011,Adventure,Alchemist,0,0,20000,0
Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,460000,470000,0,110000
Pop'n Music Portable,PSP,2010,Misc,Konami Digital Entertainment,0,0,130000,0
Gabrielle's Ghostly Groove 3D,3DS,2011,Adventure,Funbox Media,80000,20000,0,10000
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,280000,10000,60000,20000
ATV Offroad Fury 2,PS2,2002,Racing,THQ,1920000,200000,0,60000
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,340000,180000,120000,60000
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6420000,4520000,6040000,1370000
FIFA Street 3,X360,2008,Sports,Electronic Arts,120000,140000,0,30000
F1 2011,PSV,2011,Racing,Codemasters,30000,80000,10000,30000
Winning Post 7 2013,PS3,2013,Sports,Tecmo Koei,0,0,50000,0
RayStorm,PS,1997,Shooter,Sony Computer Entertainment,40000,30000,0,0
Jissen Pachi-Slot Hisshouhou,SNES,1993,Misc,Sammy Corporation,0,0,190000,0
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005,Misc,Namco Bandai Games,0,0,40000,0
Uta no Prince-Sama: Music 2,PSP,2013,Adventure,Broccoli,0,0,90000,0
Pro Yakyuu Team o Tsukurou!,DS,2008,Sports,Sega,0,0,190000,0
